{ 29011398, 563758661, "Chemin du Port de l'Île", "unclassified", -1, false }
{ 29038417, 364025955, "nan", "motorway_link", -1, true }
{ 29038417, 931480033, "nan", "secondary", -1, true }
{ 29038431, 1562247451, "nan", "secondary", -1, true }
{ 29038431, 1562247469, "nan", "secondary", 90, true }
{ 29163390, 1562199134, "Boulevard Jacqueline Auriol", "tertiary", 30, true }
{ 29163390, 1126500236, "nan", "secondary", -1, true }
{ 29163414, 4345683007, "Boulevard Jean Moulin", "secondary", 50, false }
{ 29163414, 2026467273, "Boulevard Jean Moulin", "secondary", 50, true }
{ 29163450, 29163451, "nan", "secondary", -1, true }
{ 29163450, 30402329, "nan", "trunk_link", 50, true }
{ 29163451, 29163452, "nan", "secondary", -1, true }
{ 29163452, 2026478813, "Boulevard Gaston Ramon", "secondary", 50, true }
{ 29163452, 29163453, "nan", "secondary", -1, true }
{ 29163453, 1831354816, "nan", "secondary", -1, true }
{ 29163454, 6990860460, "nan", "secondary", -1, true }
{ 29163460, 5885042100, "nan", "motorway_link", 70, true }
{ 29165144, 262497416, "L’Océane", "motorway", 90, true }
{ 29165144, 1340189721, "nan", "motorway_link", 70, true }
{ 29340483, 2026478818, "nan", "trunk_link", -1, true }
{ 29340483, 5885042100, "Quai Félix Faure", "trunk", 70, true }
{ 29340489, 29340483, "Quai Félix Faure", "trunk", -1, true }
{ 29340497, 1588627256, "nan", "trunk_link", -1, true }
{ 29340497, 345205983, "Quai Félix Faure", "tertiary", -1, false }
{ 29340497, 29365871, "Quai Félix Faure", "residential", -1, false }
{ 29340509, 8637874683, "Boulevard Ayrault", "secondary", 50, true }
{ 29340509, 9041994357, "Rue de Rennes", "residential", 30, false }
{ 29340509, 2010600997, "Boulevard Ayrault", "service", -1, true }
{ 29340527, 6387803002, "nan", "service", -1, false }
{ 29340527, 345223773, "Place André Leroy", "secondary", -1, true }
{ 29340527, 5967483294, "Rue Paul Bert", "secondary", 50, false }
{ 29340531, 5967483296, "Rue Rabelais", "tertiary", 50, false }
{ 29340531, 290381847, "Place André Leroy", "secondary", -1, true }
{ 29340536, 6790058132, "Rue Rabelais", "tertiary", -1, true }
{ 29340536, 345196234, "nan", "tertiary", -1, true }
{ 29340539, 6158292968, "Rue des Ponts-de-Cé", "residential", -1, true }
{ 29340539, 345196629, "nan", "tertiary", -1, true }
{ 29340542, 4616358820, "nan", "motorway_link", 70, true }
{ 29340542, 29163453, "Boulevard Gaston Ramon", "secondary", 50, true }
{ 29340555, 1406359475, "['Boulevard du Doyenné', 'Avenue Jean Joxé']", "secondary", 50, true }
{ 29340555, 290381900, "Boulevard Gaston Ramon", "secondary", -1, true }
{ 29340558, 9924851631, "Boulevard du Doyenné", "secondary", 50, true }
{ 29340558, 29340555, "Boulevard Gaston Ramon", "secondary", -1, true }
{ 29340560, 9924851631, "nan", "secondary", 50, true }
{ 29340560, 29340558, "Boulevard Gaston Ramon", "secondary", -1, true }
{ 29340560, 6504648316, "nan", "footway", -1, false }
{ 29340560, 6504648305, "nan", "footway", -1, false }
{ 29340563, 5449275006, "Boulevard Gaston Ramon", "secondary", 50, false }
{ 29340563, 29340560, "Boulevard Gaston Ramon", "secondary", -1, true }
{ 29340566, 5449276223, "nan", "service", -1, false }
{ 29340566, 7560623065, "Boulevard Gaston Ramon", "secondary", 50, false }
{ 29340566, 9160357646, "Boulevard Gaston Ramon", "secondary", 50, false }
{ 29340570, 3672460233, "Boulevard Henri Dunant", "tertiary", 50, true }
{ 29340570, 5810492692, "nan", "footway", -1, false }
{ 29340570, 4616597088, "nan", "footway", -1, false }
{ 29340575, 4616597078, "Boulevard Henri Dunant", "tertiary", 50, false }
{ 29340575, 351124797, "Boulevard Henri Dunant", "tertiary", 50, false }
{ 29340578, 9160357580, "Boulevard Henri Dunant", "tertiary", 50, true }
{ 29340578, 4616597212, "Boulevard Auguste Allonneau", "residential", -1, true }
{ 29360278, 9024707617, "Avenue René Gasnier", "secondary", 50, false }
{ 29360278, 3664334645, "Avenue René Gasnier", "secondary", 50, false }
{ 29360278, 3664324920, "Rue de Nazareth", "residential", 30, false }
{ 29360284, 8518361885, "Rue de Nazareth", "residential", 30, false }
{ 29360284, 8518361882, "Rue Raphaël Berry", "residential", 30, true }
{ 29360284, 8518361884, "Rue de Nazareth", "residential", 30, false }
{ 29360292, 29360296, "Rue de Nazareth", "residential", 30, false }
{ 29360292, 8518361878, "Rue Jean Giono", "residential", 30, false }
{ 29360292, 8801662022, "Rue de Nazareth", "residential", 30, false }
{ 29360296, 8518361879, "Rue de Nazareth", "residential", 30, false }
{ 29360296, 29360292, "Rue de Nazareth", "residential", 30, false }
{ 29360296, 8518361880, "Rue Roger de la Grandière", "residential", 30, false }
{ 29360302, 1340263850, "Rue de Nazareth", "residential", 30, false }
{ 29360302, 1340278916, "Rue Frédéric Mistral", "residential", 30, false }
{ 29360302, 8518361879, "Rue de Nazareth", "residential", 30, false }
{ 29360318, 7943006614, "Rue de Nazareth", "residential", 30, false }
{ 29360318, 7943006615, "Rue René La Combe", "residential", 30, false }
{ 29360318, 10298282346, "Rue de Nazareth", "residential", 30, false }
{ 29360325, 7943006640, "Rue de Nazareth", "residential", 30, false }
{ 29360325, 8518361877, "Rue de Nazareth", "residential", 30, false }
{ 29360325, 8518361876, "Rue Simone de Beauvoir", "residential", 30, false }
{ 29360329, 7906158722, "Rue de Nazareth", "residential", 30, false }
{ 29360329, 7942999482, "Rue de Nazareth", "residential", 30, false }
{ 29360329, 9177813462, "nan", "footway", -1, false }
{ 29360329, 9177813517, "nan", "footway", -1, false }
{ 29360335, 9022710810, "Rue de Nazareth", "residential", 30, false }
{ 29360335, 7906158732, "nan", "residential", 30, true }
{ 29360339, 9022732560, "Rue Simone de Beauvoir", "residential", 30, false }
{ 29360339, 7906158722, "nan", "residential", 30, true }
{ 29365163, 7027256458, "Avenue René Gasnier", "secondary", 50, false }
{ 29365163, 1408174658, "Avenue René Gasnier", "secondary", 50, false }
{ 29365163, 1352741493, "Rue des Gouronnières", "residential", 30, true }
{ 29365166, 1408171022, "Rue Saint-Lazare", "secondary", 30, false }
{ 29365166, 1408171007, "Rue Saint-Lazare", "secondary", 30, false }
{ 29365166, 1408171015, "Rue Mantelon", "residential", -1, true }
{ 29365168, 1352741020, "Rue des Gouronnières", "residential", 30, false }
{ 29365168, 7027256477, "Rue des Gouronnières", "residential", 30, false }
{ 29365168, 11093572852, "Square des Gouronnières", "residential", 30, false }
{ 29365828, 1340246434, "nan", "secondary", 30, true }
{ 29365829, 633258804, "nan", "secondary", 30, true }
{ 29365839, 915306138, "Boulevard Mirault", "secondary", -1, true }
{ 29365839, 915057956, "Rue Larrey", "tertiary", -1, true }
{ 29365839, 6805665214, "Rue Larrey", "tertiary", 50, false }
{ 29365857, 2501431382, "Rue Maillé", "living_street", -1, true }
{ 29365857, 2501431407, "Boulevard Ayrault", "secondary", 50, true }
{ 29365871, 29340497, "Quai Félix Faure", "residential", -1, false }
{ 29365871, 2077336247, "Avenue des Droits de l'Homme", "residential", 30, false }
{ 29365871, 1588627267, "Quai Félix Faure", "unclassified", -1, false }
{ 29718405, 2532926929, "Rue de la Meignanne", "tertiary", 50, true }
{ 29718405, 1340240328, "Rue de Nazareth", "residential", 30, true }
{ 29718449, 29718451, "Rue de Nazareth", "residential", 30, true }
{ 29718449, 1340240286, "Rue de Nazareth", "residential", 30, false }
{ 29718450, 29718405, "Rue de la Meignanne", "tertiary", 50, true }
{ 29718450, 29718453, "Rue de Nazareth", "residential", 30, true }
